,text,sentiment
30,"A great location close to Rainy street and a wonderful house, definitely recommend to any bachelor/bachelorette parties.",There is nothing negative mentioned in this review.
31,This is a very nice Air BnB that we used for a bachelor party group. We were able to have fun and still be spaced out. The projector and sound system was great for us and allowed us to have fun. Great getaway place. The kitchen design is amazing and everything opens up downstairs. Nice private backyard space,"The only negative thing mentioned in this review is that the group was ""spaced out"" due to the size of the Air BnB. Other than that, everything else about the property is positive."
32,Great location & beautiful home! Perfect for our bachelorette trip!,N/A
33,"Amazing place right by the heart of downtown.  The host, house, and location were all extravagant",N/A
34,Highly recommend for any group trip to Austin! Location is super central and easy to walk or Uber to downtown spots. The house itself is beautiful and very spacious- plenty of beds and room for everyone in our group without feeling like we were all sleeping on top of each other. The kitchen is gorgeous and very well designed. We also really loved the backyard — it’s very cute and fun to play games or hang out. Preston is super responsive and made all the logistics very easy and simple for our group. We had a wonderful time in Austin and the house itself was definitely one of the highlights.,There is nothing negative mentioned in this review.
35,Great for any group!,There is nothing negative mentioned in this review.
36,Perfect for a bachelorette. House and host were great! Definitely recommend!,N/A
37,I was extremely pleased with our stay. The location was perfect and the house was wonderful! Would definitely recommend!,N/A
38,"Great location. You’ll be surprised when you walk in at how nice the place is, even better than the pictures. Perfect spot for a group of friends to stay while in Austin.",N/A
39,AMAZING place to host a lot of guests. It was clean and had an amazing kitchen area. All 15 girls had plenty of room and it never felt too crowded. Also great location to get quickly on the highway!,N/A
