prompt,completion
I’m happy to share that I’m starting a new position as Business Program Manager at Microsoft!,1
"Senior engineers are hard to come by–so many companies have started to focus on hiring junior developers to train up rather.

However, hiring a good junior front-end developer isn’t as simple as having them solve an algorithm question on a whiteboard.

We’ve previously talked about how important it is to develop interview questions that accurately assess skills and match the candidate’s experience – but what does that look like for a junior front-end developer?",0
Talos is looking forward to attending and sponsoring FX Markets Asia 2022 next week in Singapore. Be sure to drop by our booth to say hello to our APAC team and learn more about the Talos platform!,0
It's not every day your Uber driver pulls over mid-ride to rescue people from a burning building - and still gets you to the airport on time. Grateful for to have heroes like Fritz in our community ❤️,1
"We’re peeling back the curtains with our series, Work Diaries, where you can experience the inner workings of YouTube. How do decisions get made? What goes into a product, feature or policy? We’re asking YouTube employees to give us the low-down during a five-day period.",0
"As I reflect on #LATechWeek last week, the perfect word to sum it up is epic. Katia Ameri, Andrew Chen, amongst hundreds of others, organized and curated such a fantastic week full of programming, content, and conversation. There were over 200 events last week, including multiple hosted by Andreessen Horowitz

As someone who grew up in SoCal and spent most of my life in LA, the entertainment industry was always synonymous with this city. This was so influential on me that I began my career in entertainment before transitioning to tech. It's not uncommon to walk through an LA hotel or restaurant and see producers, agents, and directors and overhear snippets of conversations like, ""his screenplay was just optioned by X"" or ""she's attached to Y's new project"".

Last week was much different. As I walked through Santa Monica Proper Hotel and sat down for lunch at Calabra it was filled with VC's, Startup Founders, and technologists. The conversations were ""they just signed term sheets"" and ""she is joining as their Head of Eng.""

It finally felt that Tech isn't playing second fiddle to Entertainment in LA but rather equals or counterparts. There wasn't a better way to solidify this than ending the week with a conversation with Marc Andreessen and Ari Emanuel, two leaders in their respective industries, discussing The Art of the Deal @a16z Time to Build event.

I plan on sharing more frequent thoughts on Twitter. Follow me if you’d like",1
"Whether you’re networking, running a business or taking the next step in your career, The Wall Street Journal’s award-winning reporting can help.",0
Doing a corporate headshot session with my Architect friends at Peter D. Swindley Architects & Interiors. My wife and I did a massive home remodel project with lead architect Dan Keating in 2019 and were super happy with the results. Highly recommend checking them out!,0
"You have your list of keywords. How do you prioritize?

Try the opportunity score.

Here's how it works👇

Average volume X CPC / Difficulty =

I'll break it down below:

✅ Average volume. I use at least 2 tools (usually Ahrefs & Keywords Everywhere). I'll run a report on both of them, dump them in a spreadsheet, and then calculate the average volume.

✅ CPC. Why this metric? It's imperfect, but it shows how the market values the keyword. It's a signal that this word is important, and potentially that people are ready to buy.

*NOTE: Just because everyone else values the keyword doesn't mean you should as well. Use your best judgment for your ICP, pain points, and core feature set. I don't think content people look at this metric enough, but don't overdo it.

✅ Difficulty. This is (again) imperfect, but I pull this number from Ahrefs. It gives me a rough estimate of how hard it will be to rank for this word.

After this, you'll have a list of words ranked by the opportunity score.

Not every word will be a fit for your customer.

Not every word will fit your timeline or funnel.

It's another tool to use when you need it.

⭐️ High opportunity score = the keywords you should consider first",0
"CEO Evan Spiegel told staff in a memo on Wednesday that the company will undergo a major restructuring that includes a 20% reduction of its workforce and product pullbacks it anticipates will help the company save $500 million this quarter.
— Comes as Snap's biz continues to feel the impact of advertising headwinds.
— Snap has lost nearly 80% of its market value since the beginning of the year.",0
"Since being laid off from Zillow, a position and Company I truly believed in (and still do), I spend every day searching for a new career.

I get up every morning as if I am going to my home office to start my day of work -- because job searching is my job. I spend at least 6 to 7 hours every single day on the hunt for my new career.

I am seasoned (older - there, I said it), and it is definitely affecting my chances on getting hired. Most of the people interviewing me are in their 20's (I have more years' experience, than they are old.) 

I've had 9 interviews with 1 Company -- got turned down. I had 7 interviews with another, got turned down. I've had many interviews that I've made through 3 & 4 interviews. I've met with recruiters (interviews were scheduled for 30 minutes in duration -- one lasted 5 minutes, another lasted 8 minutes -- couldn't get off the phone quick enough). Or I hear, I will pass your resume on to the Hiring Manager. Then nothing, I get ghosted.

Or I hear nothing from my applications or thanks but no thanks within 3-5 minutes of sending in the application. 

I don't rely on LinkedIn, Indeed, Ziprecruiter, etc. I research companies, I've reached out to my sphere of influence, and anyone else that I can think of.

I've taken classes to learn more, I comment on posts, I've had my resume professionally done (job specific), looked into other realms of business where I know I would fit in. I research companies, I research individuals that will be interviewing me to find a commonality we may have -- if not I always try and leave them with a smile on their face!

I've been in the real estate industry since 1989. I've listed and sold properties, a transaction coordinator, a transaction manager, a public speaker, training new hires and new/seasoned agents. I'm very good at what I do! I show up and I work. I'm not a clock watcher. I do my job and try and go above and beyond...to make a difference.

Never in my life have I had such difficulty finding a job. I need to work, I want to work, I'm willing to work and I will show up and do just that!

If you've read this post and would like to offer ""constructive advice"", are looking for someone like me, know someone who isn't afraid to hire a ""seasoned"" individual -- please connect with me!

Please don't tell me I'm lazy -- I'm anything but that. I work every day. I deserve to be taken a chance on! I know I'm not the only one that deserves that chance...

Thank you, and everyone have a Great Weekend!",0
"So, like many of you, I was just laid off. I signed my employment contract with Meta a couple weeks ago and then signed a year lease and moved into my new apartment based on the job :(. I then received a call saying that my position had been terminated, as in, the role no longer needed to be filled. I usually don't write stuff like this but I thought I would give it a shot because I'm kind of desperate at this point. So, if any of you know of a Recruiting Coordinator or Project Coordinator position opening up please message me or comment below! Also, if by any chance you have a talented recruiter that you have worked with and would recommend please let me know ☺️ 
PS: I also have a lot of experience in the music industry (A&R, Project Management, etc...) and I am open to all opportunity 😊",0
"We recently celebrated ClickTime’s first face-to-face team week in two years!

It was an incredible week full of strategy, catch ups, and meeting colleagues that we had only ever seen on screen.

There were insightful leadership presentations, team breakouts, and planning - but also plenty of time for fun.",0
"Content marketing is just customer education.

You:
1. talk about a problem your customers are facing
2. make them aware of the problem
3. show them how it impacts them and what it costs
4. show them possible solutions
5. explain who your solution is a good fit for them for vs other options they have

It's not complicated but does require patience, effort, and a great understanding of your customers.",0
So inspired by all of the humans across Rivian for bringing these incredible vehicles and subsequent memories to life!,1
"When I was with Sherwood Design Engineers and had the chance to learn from design experts like Josiah Cain and Amelia Luna about the potential of performance ecology & ""green engineering"", there was no better example to cite than the net-positive #Google Bayview campus. Years later as a #Googler myself, it's a privilege and honestly fascinating to see & experience this campus up close and personal. Take a peek for yourself!",1
"Talking face to face with Ion Stoica, Piero Molino, Richard Liaw and new friends from tech giants and academia is much more efficient than zoom!",0
"Excited to share that our portfolio oVice, the No.1 virtual office communication platform in Japan, raised a $45M($1=100JPY for simplicity) Series B and hired former Asana Japan CEO, Tamura-san as COO!!!

Of the 100 FTEs, 30% are non-Japanese global talent. We are looking for members that are motivated to help a Japanese startup truly succeed globally, something that has never been done by a software startup.",1
Honored to be named a 'rising star of tech PR' by Business Insider!,1
"Shoutout to the seven folks who signed offers this month to join Kittyhawk on our audacious mission to democratize aviation 🎉

We're still bringing the heat on the hiring front, so check out our open roles and let me know if there's something of interest you want to talk about:",0
"Zach Perret, Plaid Co-founder & CEO, and his leadership team walk through the biggest trends in fintech including the rise of super apps, digital wallets, Web 3.0, and more in this report.",0
"It was great spending the morning with the President of The American University in Cairo, Dr. Ahmad Dallal and his amazing leadership team. Looking forward to what will come out of the discussion.",1
"Being isolated from my peers, partner, family and friends during the pandemic led to a few new aspirations:
✅Desire for a “big dog” companion
🥁welcomed North, a 12 week English Cream Golden Retriever into my life on April 17th, 2021. 🐶
✅Desire to find a global 🌎team cause
🥁 Inspired by the vision of Sage Lavine and Scott Harrison, Founder/ CEO of Charity: Water💧.🏆Within 24 hours, our mighty crew became new Soring members!
Why Charity: Water❓
Every 💵 gets directed into 1 of 112k projects affecting 15.5 M individuals in over 29 countries!! 🙌👏🏻👏🏻
✅blessed to be chosen to be 1 of 🏃🏻‍♀️🏃🏻‍♀️🏃🏻‍♀️🏃🏻‍♀️🏃‍♂️🏃‍♂️🏃‍♂️🏃🏻‍♀️🏃🏻‍♀️🏃‍♂️🏃‍♂️🏃‍♂️ to participate in the upcoming Hood to Coast relay next weekend in Oregon!
👍🏻 our first 🚙 will leave next Fri at 4:26 a.m from the top of Mt Hood 🏔to begin a 200 mile trek to the Pacific 🌊. Rumor has it that it will hit triple digit temperatures for the early legs!!🥵🥵😂
🏆 to North 🐶for being my 🏃🏻‍♀️ when he isn’t barking at 🐿🐿
👬🥅 = impact 137 projects
😁🙏🏻😀👏🏻👏🏻 to Ashley Martin for the the coolest team swag!

🖐🏻✋🏻🙌 to Mel Robbins for being such a passionate advocate for science and community!

🥁 🎗 💧 team can’t wait to join runners from 60+ countries at the 🏁 🌊🌊👏🏻💃🏻🕺",1
"Ticketmaster has chosen Flow Blockchain for minting NFTs for live events!

Event organizers across sports, music, and theater can use digital collectibles to give fans access to loyalty rewards, VIP perks, and more. To date, 5 million event NFTs have been minted on Flow.",0
"ASML is the only supplier in the world to provide the advanced machines to make the cutting-edge chips, but behind all of those machines, are software engineers.",0
"Well, here we go again😫

You might have learned that around 20% of us are being laid-off today from Snap Inc (including myself). I wasn't here long, but in that time, I can honestly say that I've met some of the most talented, smart, and kind people who have built some amazing things and they’re gonna need your help looking for new opportunities. Again, I am dedicating this time to helping those affected to find new roles.

If you are a Snap Inc. Employee affected by the recent lay-off please add yourself to this list!

https://bit.ly/3BLZKhI

If you are an employer/recruiter, please use this link to reach out to them. These are some of the kindest, smart & creative people that I have ever met: 

https://bit.ly/3BRRbC4

I am offering resume reviews and advice to anyone who was affected by this layoff. So feel free to connect with me on LinkedIn (if we aren't already connected) and reach out via inmail.",0
"Our team continues to grow, and I'm hiring for two Market and Competitive Intelligence roles on YouTube Strategy.

If you know anyone with a consulting or equity research background who wants to join a great team, please send them my way. Thanks!",0
"Some personal news....

About a year ago I left Google and joined a tiny lil sports startup. We've been working on a new way to connect fans, athletes, and football clubs in a way that has never been done before.

And we're finally ready to share Athletic Club Momento with the world :)
https://www.acmomento.com/",1
"In the beginning of July, I unfortunately was apart of the layoffs at Twitter that affected a large portion of the TA workforce. Even though this was unexpected and upsetting, I am nothing but grateful for my time spent at Twitter. I was fortunate to work with so many incredible people, from my hiring managers, to my TA partners, and more. I was able to learn and grow so much and I truly did #LoveWhereYouWork.

With that being said, I am so excited to announce that this week I have started a new role as a Foundations Recruiter at Airbnb supporting the Americas. Thank you Juanita S. for this amazing opportunity. I am excited and eager, let's go! #AirFam",1
"Good morning 🌞 from Google Dublin! 🇮🇪

#LifeAtGoogle",1
"Welcome to the board, Daniel Danker! Daniel brings his extensive product strategy and marketplace expertise gained at Instacart, Uber, and more to further enhance our ability to provide rapid, sustainable employment for technologists in emerging markets from the world’s best and brightest organizations. Welcome aboard the Andela rocket ship!",0
"The job description: We’re looking for someone who lives and breathes creativity. You have the kinds of Ideas that will change the world and inspire a generation.

The job: We need a few social posts letting people know they can get free guac if they order tacos this weekend.",0
"I’m excited to share that I’ve accepted a position as an Engineering Program Manager at Apple!

The decision to leave Microsoft has been the most difficult decision that I’ve made in my career. While my current role has been centered on driving the digital transformation of Microsoft customers, I have also experienced transformation while working here. I’m incredibly grateful for the colleagues, partners and mentors that I’ve built relationships with as well. I’m excited to see where you all take the company next!",1
I’m thrilled to share that I’m starting a new position as Senior Engineering Manager at Opendoor!,1
"Our data scientists from GovTech Singapore’s DSAID (Watson Chua, Lu Li, and Amelia Lee) conducted a hands-on tutorial titled ""Classifying Multimodal Data using Transformers"" at KDD earlier last week, in Washington DC. Quite a number of participants attended our session and engaged us in fruitful discussions on the topic.

We are grateful to have the opportunity to share our work on classifying multimodal municipal issues feedback in the Singapore government at KDD, and would like to thank everyone who took an interest in it.",1
"Managers, take note: 20% of your team should be star players. We’ll teach you to find them, coach them, and set them free to transform the business.",0
"The paradox of Gen Z:
✅ They supposedly have short attention spans …
✅ ... but are also more willing than ever to indulge in hours-long videos.

Here’s how creators are deepening connections with viewers through long-form content ",0
This week's newsletter. #realestate #realestatenews,0
"I had a blast meeting in-person with my entire Purchase UX team in NYC! Almost four months in since I joined and it was so great to help plan this onsite where we shared perspectives and created a space to collaborate, strategize on our future vision and foster greater fulfillment in our work. In the spirit of #movefast we honed in on increasing intensity while focusing on the value of Meta, Metamates, Me - and how we translate it for healthier, vibrant selves and teams! I was already so excited to join this group, but if it was even possible, I am now even more energized and inspired to work at Meta with a group of such skillful, clever, thoughtful, and unique creators! ",1
I logged back into my work email after 7 weeks off to zero emails because I auto-deleted everything while I was out. It was definitely the right call to come back to work to a calm inbox.,0
"I’m sorry, but this is disgusting.

Alcohol destroys lives. No government should ever encourage, let alone incentivize, alcohol consumption in any form.

So the economy is suffering due to a drop off in alcohol sales? What about the financial toll alcohol abuse takes on individuals and their families? I hope whoever championed this policy is ready to take full responsibility for the damage it causes.

Failure to understand monumental (and completely predictable) changes in consumer demographics and preferences has now resulted in a doubling down of antiquated policies.

Shame on you, Japan.",0
"A dream come true: An immigrant in tech

You see that flag I’m holding? That’s my home country’s flag

I couldn’t be more proud of standing in front of my dream job and representing so many Dominicans and latinos who work hard everyday to get their goals

I stand in front of my dream job remembering the sacrifices of those who helped me be where I am today: My mom & dad. They would work 12+ hours a day just to make sure me and my siblings had something to eat at home

I represent a whole country full of dreams in the Caribbean (Dominican Republic), with young people just like me. Young leaders working hard everyday.",1
"Today marks my 2 year Googleversary! As my first job out of college, starting during a global pandemic, entirely virtually, to enjoying all that the Google offices have to offer. Here’s to more growth, friends, memories and opportunities at an amazing company! #google",1
"I'm hiring for Shef's first internal finance role! Looking for someone to own everything finance - from strategic finance (reporting to board, setting business targets, rebuilding and owning the model) to managing external vendors. Role comes with a lot of autonomy, exposure, and growth potential.",0
"New name. New logo. Same storage industry-defining leadership
and innovation trusted in client devices and data centers globally. We are Solidigm—the New Paradigm of Solid-State Storage.",0
"I've only been talking about and thinking about this since 2018, but I FINALLY got it done.

I’m now a Certified Information Privacy Professional! Thank you to everyone in my community for the study tips, good energies and support!

Time to celebrate! And maybe think about the CIPP-EU next!",1
"Super excited to announce I am getting promoted to the most important personal and professional role I will ever hold in life, being a dad!
So grateful to work for a company like Meta where I can spend these next priceless 4 months at home building lifelong memories with my son!",1
Need recommendations of industry agnostic funds or angel syndicates that have a proven track record of investing in underrepresented founders and lead rounds (pre-seed & seed),0
I'm excited to start my new job as Director of Strategic Silicon Partnerships at Meta.,1
Our Q2 2022 earnings results are in: our biggest quarter ever with >103M Nights and Experiences booked. Read more in our shareholder letter:,1
One of the best weapons we have against mosquito-borne diseases is...mosquitoes! Scott O’Neill of World Mosquito Program (WMP) explains how this factory in Colombia is helping our surprising ally save lives around the world,0
I’m happy to share that I’m starting a new position as Lead Product Designer - Growth at Apollo.io! So grateful for the last 6 years I've been at Honey and excited for the road ahead.,1
"No child should die from severe diarrhea, but it is currently the second biggest killer of children in Nigeria. That’s about to change. Today, Nigeria introduced the rotavirus vaccine - a triumph in protecting children from this preventable disease.",0
"Meta enables women in tech, like Vidya. She let her passion lead her all the way to becoming a product manager. Comment below to tell us where your passion leads you.",0
"Today is my 1-year Googleversary!
A few weeks back I had the opportunity to visit HQ in Mountain View, and I couldn't pass up the iconic photo op to capture ""peak googleyness""!
Riding the gBikes around campus in sunny California topped off what's been such a surreal experience that I'm grateful to have.",1
"Thanks to the global outpouring of support from Hosts, like Rafal, Airbnb.org donors and humanitarian organizations, more than 100,000 people fleeing Ukraine have received free, temporary housing through Airbnb.org.",0
"Today we launched Sense 2 and Versa 4!
Huge congratulations to the Fitbit ID & CMF teams!

The watches have been fundamentally re-designed and re-engineered to feel more at home on the body than ever before. They are thinner and lighter than their predecessors and integrate Fitbit's advanced sensor technology in a seamless, natural way. Their forms are effortlessly streamlined, and every detail is meticulously considered.

I could not be more proud of the teams work!",1
"Thrilled to be celebrating the launch of our new #Microsoft cloud datacenter region in the Middle East and Africa. The opening of our Qatar region represents an important step forward in our unwavering commitment to empower organizations and individuals in MEA to achieve more.
 
At Microsoft, our vision is to deliver a responsible public cloud that serves as an engine for inclusive economic prosperity; is worthy of trust; empowers people and communities; and is environmentally sustainable. Bringing this datacenter to Qatar unlocks these and even more opportunities for the country and the region. ",1
I’m happy to share that I’m starting a new position as Chief Growth Officer at Pointr : The Deep Location Company!,1
"Dear VCs,
Nobody wants the metaverse.

We just want a planet that we can live on.

Signed,

8 billion people experiencing the climate crisis",0
I joined Salesforce 4 months ago. I have worked on 14 projects. I have sent a total of 6 internal emails. #slack #digitalhq,1
"Thank you The New York Times for this great piece on the realities behind the adolescent #mentalhealth crisis and how we got here.

It summarizes so many of the findings that led me to start 💛 Clayful  and why we're flipping the existing systems on their head:

✋there’s not enough trained providers to support adolescents 
👉 so we’re training a new workforce and giving them the tools + knowledge necessary to triage and support pre-clinical needs",1
"465 days ago, I took a huge leap. I knew that I was scared. I knew that it was risky. I knew that I could be making a costly mistake. More importantly, however, I knew that I could not continue doing the same thing that I had been doing and needed to take a huge leap of faith - in myself.

Today, I look back at the past 365 days (and my Noogler hat) and feel gratitude for every single moment that brought to this day - my ONE YEAR GOOGLEVERSARY. I am inspired by the brilliance and the ingenuity that surrounds me every day. I am motivated by the numerous opportunities to grow, to learn and to lead. Most of all, I am looking forward to seeing where this journey takes me and many more Googleversaries to come.",1
"Want benefits that prove to increase retention? By using personalized benefits, our clients have found 81% of their employees report greater loyalty to their company.",0
"Work life balance, or work life integration means different things to different people. Give your team members the flexibility to do what works best for them!

For example, an employee leaves early a few hours on a Friday, but checks a few emails during their vacation week. There’s no prescribed way to calculate what makes it “equal”.

Wait…I’m looking at the article title. Should we expect work during vacation time? Absolutely not! It needs to be an intentional, personal choice that you are comfortable with.

It’s up to you to decide how to detach and which boundaries work best for you. The key is to understand if the decisions you’ve made were intentional (ex. Check emails 1 hour/day before 9am) or unintentional (ex. Unlimited pings to respond to).

Give yourself and others the grace, and don’t feel guilty either way!",0
"I'm pleased to welcome Dr. George McArthur as Senior Director of Experience at TeselaGen Biotechnology. George has been a visionary, responsible for implementing innovative synthetic biology workflows. Before joining TeselaGen, he led commercialization efforts at Ansa, one of the leading companies on enzymatic DNA synthesis.",0
"Today is my 1st Metaversary!!! 🥳

In the last year, I have...
- Worked completely remotely and have successfully balanced work and life
- Worked with an amazing team of highly skilled sourcers and recruiters
- Hired many incredible Metamates to the organization!
- Had direct facetime with my Recruiting Director, Recruiting Manager and Recruiting Lead.
- Got to play in the metaverse!! I'm holding on tight to my Beat Saber high scores!
- Made some phenomenal connections through extra curricular projects and events around personal/professional growth and DEI
- Felt empowered to speak my mind, share my ideas, and exist authentically
- Overcame challenges and learned to thrive with adaptability in a whole new recruiting space in a job market that is unlike ever before. Sometimes it was hard, sometimes it was easy, but it was always fun.

Time truly does fly when you're having fun! Thank you Meta for giving me the space to help candidates navigate the hiring process. Connecting with job seekers is such a passion for me. I can't wait to see what the future holds!",1
"In Vegas this week? Attending #blackhat2022? Stop by, say hello, and let me blather at you about #devsecops :-)",0
"After a year of a whirl wind ride growing Ironclad from 200 to over 500 Cladiators strong, it’s with massive gratitude that I close this chapter, at least for now. I’ve been offered an opportunity to focus my career on an area that I’ve always wanted to grow in and knew I’d regret if I didn’t make the leap.

Thank you to the exuberant talent team and Engineering & Product teams for being both extraordinary professionals and kind human beings, especially Dustin, Victoria, Jason Li, Divya, Jiahan, John, Steven, Leyla, Ambrosia, Himay, Kevin, Natalie, Michael, Kenny, Charlie, Stephanie, Meghan, Chino, Angelita, Cristina, Robert, Jennafer -- and many other remarkable folks, too many to name! -- for your partnership. Thank you for the incredible year of growth, in more ways than one!

It’s not goodbye, it’s only see you later; no doubt I’ll be rooting for Ironclad and this awesome team with the mission to **power the world’s contracts!!!**

As for my next chapter, more to come on that soon!",1
"Last week, I had the opportunity to visit and work from the Google office in Singapore!

The Google Play Trust and Safety team hosted an incredible offsite event that allowed us to meet and network in person for the first time. As a 3-week Noogler, I'm extremely appreciative to the entire team and my leadership for welcoming me so warmly.

My first business trip was definitely one for the books!",1
